scene_name,bound,camera,prev_frame_depth_mode,all,frustum,mocVis,gpuIds,mocBuf,mocQry,gpuDraw,depthRead
hotel_43c0035a,aabb,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,15218,4442,345.951,3.112,37.115,0.000
hotel_43c0035a,aabb-tri,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13746,4442,339.599,12.958,53.157,0.000
hotel_43c0035a,dop10,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13623,4442,342.594,21.980,32.857,0.000
hotel_43c0035a,dop12,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13576,4442,347.145,25.494,21.718,0.000
hotel_43c0035a,dop14,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13515,4442,349.720,28.885,33.429,0.000
hotel_43c0035a,dop16,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13494,4442,346.220,30.976,21.870,0.000
hotel_43c0035a,dop18,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13435,4442,344.348,32.956,21.747,0.000
hotel_43c0035a,dop20,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13433,4442,348.063,36.211,33.322,0.000
hotel_43c0035a,dop22,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13424,4442,343.499,37.936,21.527,0.000
hotel_43c0035a,dop24,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13416,4442,350.538,39.953,21.465,0.000
hotel_43c0035a,dop26,"((-4995.17, 2422.32, -2190.91), (0.802007, -0.391858, 0.450813), (0.341591, 0.920026, 0.19201))",without-prev-frame-depth,35704,35703,13410,4442,347.105,40.075,21.436,0.000
